subj range stair stan yhat se
5 high stair_76.5_high_2 76.5 67.6875 0.617815853285935
5 high stair_76.5_high_3 76.5 70.25 1.62843044502543
5 high stair_76.5_high_4 76.5 69.4375 0.870844725375474
5 high stair_79.0_high_1 79 76.75 0.773082304803311
5 high stair_79.0_high_2 79 73.75 0.870844725375474
5 high stair_79.0_high_3 79 74.625 1.02207771580387
5 high stair_79.0_high_4 79 76.8125 1.23359774353601
5 high stair_81.5_high_1 81.5 78.4375 1.32203171563426
5 high stair_81.5_high_2 81.5 76.25 0.597147235971642
5 high stair_81.5_high_3 81.5 80.875 1.22747563257746
5 high stair_81.5_high_4 81.5 77.3125 1.6875
5 high stair_84.0_high_1 84 81.625 0.915820767711362
5 high stair_84.0_high_2 84 83.8125 0.75
5 high stair_84.0_high_3 84 82.625 0.694365074829414
5 high stair_84.0_high_4 84 81.6875 1.61449212491996
